product_id,name,category,subcategory,unit_price,cost,list_price_2024,in_stock_units
1,Black Camera,Electronics,Cameras,433.54,224.24,440.6266121051296,270.0
2,Maintain Laptop,Electronics,Laptops,807.37,351.48,794.8056489665487,16.0
3,Start Accessorie,Electronics,Accessories,978.72,367.95,1009.6660840308892,91.0
4,Movement Headphone,Electronics,Headphones,17.97,12.57,,
5,Yeah Smartphone,Electronics,Smartphones,503.34,180.1,524.449133438593,161.0
6,Important Laptop,Electronics,Laptops,531.19,192.72,,
7,Beyond Accessorie,Electronics,Accessories,357.42,167.06,359.0951031936047,104.0
8,Plant Smartphone,Electronics,Smartphones,295.82,122.24,289.99422677459245,489.0
9,Right Laptop,Electronics,Laptops,66.57,26.82,67.34849674358524,5.0
10,After Laptop,Electronics,Laptops,309.24,235.47,306.0290641122288,474.0
11,Change Smartphone,Electronics,Smartphones,216.27,129.85,218.16398756169224,46.0
12,Get Smartphone,Electronics,Smartphones,156.75,77.9,163.4162311099779,238.0
13,Support Headphone,Electronics,Headphones,152.16,71.45,,
14,Find Headphone,Electronics,Headphones,90.93,61.01,90.07089876314174,12.0
15,Sea Headphone,Electronics,Headphones,536.46,192.64,535.3471062451271,50.0
16,Yes Smartphone,Electronics,Smartphones,245.66,101.09,,
17,Light Laptop,Electronics,Laptops,953.82,375.23,,
18,Rest Camera,Electronics,Cameras,35.67,20.03,36.7172909851647,423.0
19,Improve Smartphone,Electronics,Smartphones,727.02,269.65,750.2348585350576,23.0
20,Arm Accessorie,Electronics,Accessories,548.49,335.04,545.4342392825207,182.0
21,Right Camera,Electronics,Cameras,614.24,247.11,611.6941328170767,216.0
22,Scientist Smartphone,Electronics,Smartphones,205.71,98.81,215.6565756530213,461.0
23,Cost Headphone,Electronics,Headphones,235.35,174.8,231.54836356900927,39.0
24,Concern Headphone,Electronics,Headphones,696.97,282.68,731.2565638670629,55.0
25,Protect Headphone,Electronics,Headphones,282.92,149.7,284.6366520186707,132.0
26,Agent Laptop,Electronics,Laptops,259.69,123.49,268.03345970858004,364.0
27,Into Laptop,Electronics,Laptops,686.85,342.59,,
28,Series Accessorie,Electronics,Accessories,749.19,279.01,745.7388174284612,402.0
29,Pressure Accessorie,Electronics,Accessories,103.82,57.5,103.43287935896892,251.0
30,Hospital Laptop,Electronics,Laptops,477.17,214.5,497.31639655438255,118.0
31,Wide Laptop,Electronics,Laptops,976.57,373.86,970.2493794774008,430.0
32,East Smartphone,Electronics,Smartphones,338.4,127.28,,
33,Forward Accessorie,Electronics,Accessories,217.73,78.93,216.28870045064545,298.0
34,Television Laptop,Electronics,Laptops,399.8,208.52,402.14689590776015,335.0
35,Wide Camera,Electronics,Cameras,425.48,268.86,425.77044060633455,358.0
36,Work Smartphone,Electronics,Smartphones,749.87,321.49,763.1303290762097,393.0
37,Executive Laptop,Electronics,Laptops,608.8,285.91,601.2149910163138,100.0
38,Say Camera,Electronics,Cameras,364.99,233.95,374.73094548726,94.0
39,Yeah Laptop,Electronics,Laptops,412.64,256.52,415.5124779192628,428.0
40,Because Laptop,Electronics,Laptops,171.89,75.68,170.74616986593605,309.0
41,Rest Smartphone,Electronics,Smartphones,376.48,158.48,389.33895657968543,399.0
42,Cost Camera,Electronics,Cameras,328.75,216.35,328.95541226213817,180.0
43,A Laptop,Electronics,Laptops,97.72,52.4,,
44,Walk Camera,Electronics,Cameras,6.81,4.3,6.958194713031108,196.0
45,Beautiful Camera,Electronics,Cameras,511.39,183.54,,
46,Reflect Laptop,Electronics,Laptops,397.56,205.91,395.9490443178862,415.0
47,Central Camera,Electronics,Cameras,513.39,252.36,520.2695277995394,348.0
48,Court Camera,Electronics,Cameras,231.62,156.59,229.26053525469325,186.0
49,Left Laptop,Electronics,Laptops,850.7,304.77,,
50,Wear Headphone,Electronics,Headphones,240.1,113.11,247.6436330373156,278.0
51,Former Cookware,Home & Kitchen,Cookware,863.34,370.52,887.9242480968924,332.0
52,Still Cookware,Home & Kitchen,Cookware,12.48,6.91,12.745015582739368,248.0
53,Student Decor,Home & Kitchen,Decor,192.38,115.82,198.3746522103789,369.0
54,We Decor,Home & Kitchen,Decor,679.71,371.36,680.0610502538397,466.0
55,Others Cookware,Home & Kitchen,Cookware,395.52,222.82,400.6779969734537,207.0
56,Heavy Appliance,Home & Kitchen,Appliances,186.07,83.65,184.5346293477425,120.0
57,Try Cookware,Home & Kitchen,Cookware,510.39,229.78,517.499242355929,497.0
58,Artist Appliance,Home & Kitchen,Appliances,87.55,52.45,,
